Munic_pio,uf,nome,codigo,REGIAO,total,utiliza,distm,FPM,valorPNATE,y,x
Alta Floresta D'Oeste,RO,ALTAFLORESTADOESTE,110001,NORTE,2814,1276,147.02301773,20544.067956,141396.55499,-11.929,-61.996
Ariquemes,RO,ARIQUEMES,110002,NORTE,3030,2632,68.827438998,72420.770973,68980.229727,-9.913,-63.041
Cabixi,RO,CABIXI,110003,NORTE,580,552,41.59624706,4795.2012787,41487.432914,-13.492,-60.545
Cacoal,RO,CACOAL,110004,NORTE,3638,3238,69.581697672,43551.330434,72628.943601,-11.438,-61.448
Cerejeiras,RO,CEREJEIRAS,110005,NORTE,633,574,118.82616594,11032.465907,81359.758248,-13.189,-60.812
Colorado do Oeste,RO,COLORADODOOESTE,110006,NORTE,984,935,31.547591743,10684.3941,32727.376928,-13.117,-60.542
Corumbiara,RO,CORUMBIARA,110007,NORTE,1065,826,68.099414985,7457.3926119,67781.141424,-12.962,-60.887
Costa Marques,RO,COSTAMARQUES,110008,NORTE,1155,739,108.80642308,13697.961439,97076.892223,-12.445,-64.227
Espigão D'Oeste,RO,ESPIGAODOESTE,110009,NORTE,2151,1622,84.732781347,17353.216742,81949.248251,-11.525,-61.013
Guajará-Mirim,RO,GUAJARAMIRIM,110010,NORTE,1639,182,210.04511225,24197.632073,191444.58023,-10.783,-65.339
Jaru,RO,JARU,110011,NORTE,3352,3139,101.87993945,37666.678037,85445.787208,-10.439,-62.466
Ji-Paraná,RO,JIPARANA,110012,NORTE,3025,2231,138.11750975,38106.667499,117001.59486,-10.882,-61.944
Machadinho D'Oeste,RO,MACHADINHODOESTE,110013,NORTE,3650,3130,101.54349284,31621.865214,93091.165684,-9.444,-61.981
Nova Brasilândia D'Oeste,RO,NOVABRASILANDIADOESTE,110014,NORTE,2394,1737,63.570257718,18818.983556,73692.211625,-11.725,-62.331
Ouro Preto do Oeste,RO,OUROPRETODOOESTE,110015,NORTE,2040,1985,76.155616186,24633.081078,60308.149738,-10.716,-62.248
Pimenta Bueno,RO,PIMENTABUENO,110018,NORTE,916,702,116.67475142,17812.907758,90063.683992,-11.673,-61.193
Porto Velho,RO,PORTOVELHO,110020,NORTE,9997,4213,339.54721343,244631.73626,297599.77602,-8.762,-63.904
Presidente Médici,RO,PRESIDENTEMEDICI,110025,NORTE,1816,1262,36.195233698,14236.347394,57587.285703,-11.176,-61.901
Rio Crespo,RO,RIOCRESPO,110026,NORTE,510,474,56.080074939,4924.3071133,50261.158877,-9.705,-62.9
Rolim de Moura,RO,ROLIMDEMOURA,110028,NORTE,1746,1679,33.1102097,23903.517916,35341.665536,-11.733,-61.778
Santa Luzia D'Oeste,RO,SANTALUZIADOESTE,110029,NORTE,947,824,59.614764749,6062.7987401,57345.180916,-11.902,-61.779
Vilhena,RO,VILHENA,110030,NORTE,848,558,197.59494071,43713.191249,140052.80741,-12.741,-60.146
São Miguel do Guaporé,RO,SAOMIGUELDOGUAPORE,110032,NORTE,2585,2530,127.48955823,22796.779809,92239.12905,-11.681,-62.684
Nova Mamoré,RO,NOVAMAMORE,110033,NORTE,2684,972,183.73085235,20809.269084,167084.13171,-10.411,-65.331
Alvorada D'Oeste,RO,ALVORADADOESTE,110034,NORTE,2034,1433,95.101053616,17609.738252,90262.102497,-11.408,-62.389
Alto Alegre dos Parecis,RO,ALTOALEGREDOPARECIS,110037,NORTE,1572,1313,126.75381791,15993.616734,95750.713708,-12.128,-61.851
Alto Paraíso,RO,ALTOPARAISO,110040,NORTE,1866,964,59.376484482,17458.106938,82446.910999,-9.713,-63.321
Buritis,RO,BURITIS,110045,NORTE,2849,998,68.939346928,30247.421161,104842.97331,-10.212,-63.829
Novo Horizonte do Oeste,RO,NOVOHORIZONTEDOOESTE,110050,NORTE,1218,911,26.384270648,9268.4378254,46326.358738,-11.71,-62
Cacaulândia,RO,CACAULANDIA,110060,NORTE,801,695,40.274029412,7348.7966126,44276.503579,-10.34,-62.896
Campo Novo de Rondônia,RO,CAMPONOVODERONDONIA,110070,NORTE,1429,1115,76.01408947,14575.204566,70871.426616,-10.571,-63.627
Candeias do Jamari,RO,CANDEIASDOJAMARI,110080,NORTE,1081,558,109.24404928,14720.47774,105128.37526,-8.791,-63.701
Castanheiras,RO,CASTANHEIRAS,110090,NORTE,598,567,40.535665692,5944.7604125,39125.159344,-11.427,-61.95
Chupinguaia,RO,CHUPINGUAIA,110092,NORTE,894,605,58.897139711,9457.7208052,66867.70074,-12.552,-60.9
Cujubim,RO,CUJUBIM,110094,NORTE,1021,978,72.881261394,13929.864901,54122.546163,-9.363,-62.585
Governador Jorge Teixeira,RO,GOVERNADORJORGETEIXEIRA,110100,NORTE,1819,1165,106.52930784,14976.514,100064.46027,-10.61,-62.737
Itapuã do Oeste,RO,JAMARI,110110,NORTE,837,760,66.752028038,10245.703862,54299.247863,-9.205,-63.18
Ministro Andreazza,RO,MINISTROANDREAZZA,110120,NORTE,1347,1335,28.845177531,13355.409613,29921.027392,-11.196,-61.517
Mirante da Serra,RO,MIRANTEDASERRA,110130,NORTE,1382,1126,57.101229059,12629.628584,58261.573032,-11.03,-62.675
Monte Negro,RO,MONTENEGRO,110140,NORTE,1935,1864,43.254480476,18368.085923,42816.320949,-10.246,-63.29
Nova União,RO,NOVAUNIAO,110143,NORTE,1377,1027,22.84502005,11282.054951,44599.12814,-10.904,-62.561
Parecis,RO,PARECIS,110145,NORTE,498,367,57.563917994,5494.6456247,63253.581202,-12.175,-61.603
Pimenteiras do Oeste,RO,PIMENTEIRASDOOESTE,110146,NORTE,149,128,126.20713448,3894.2729846,94242.155761,-13.483,-61.047
Primavera de Rondônia,RO,PRIMAVERADERONDONIA,110147,NORTE,489,443,30.489309954,4751.1755959,38004.72231,-11.828,-61.321
São Felipe D'Oeste,RO,SAOFELIPEDOESTE,110148,NORTE,785,751,22.346681304,6709.7888361,28763.614776,-11.903,-61.502
São Francisco do Guaporé,RO,SAOFRANCISCODOGUAPORE,110149,NORTE,1666,1539,149.82031567,17259.532685,102748.87372,-12.062,-63.569
Seringueiras,RO,SERINGUEIRAS,110150,NORTE,1977,1884,73.134136563,16110.857893,60740.992244,-11.798,-63.031
Teixeirópolis,RO,TEIXEIROPOLIS,110155,NORTE,822,771,29.299651399,6726.1973887,34144.987648,-10.918,-62.249
Theobroma,RO,THEOBROMA,110160,NORTE,2075,1935,54.753953331,15734.95975,52768.613801,-10.244,-62.355
Urupá,RO,URUPA,110170,NORTE,1501,880,34.324934175,15654.920571,61575.944205,-11.125,-62.376
Vale do Anari,RO,VALEDOANARI,110175,NORTE,1363,1239,87.287857078,11798.47505,68549.574388,-9.863,-62.186
Vale do Paraíso,RO,VALEDOPARAISO,110180,NORTE,1315,1079,45.983605574,11726.561941,51577.330593,-10.449,-62.134
Acrelândia,AC,ACRELANDIA,120001,NORTE,1790,1483,46.65443194,10952.880615,55021.945171,-9.828,-66.883
Assis Brasil,AC,ASSISBRASIL,120005,NORTE,800,97,118.03263362,6226.4242393,140422.41244,-10.941,-69.567
Brasiléia,AC,BRASILEIA,120010,NORTE,1873,513,115.20348451,14280.264559,130888.95511,-11.01,-68.748
Bujari,AC,BUJARI,120013,NORTE,1313,652,74.776996157,6271.8011389,93943.88829,-9.831,-67.952
Capixaba,AC,CAPIXABA,120017,NORTE,1393,715,46.496808996,8014.5807893,75868.477372,-10.573,-67.676
Cruzeiro do Sul,AC,CRUZEIRODOSUL,120020,NORTE,5677,2324,124.19558322,35328.493893,150692.57368,-7.631,-72.67
Epitaciolândia,AC,EPITACIOLANDIA,120025,NORTE,857,493,47.233756886,9977.4219995,66927.524023,-11.029,-68.741
Feijó,AC,FEIJO,120030,NORTE,2984,377,287.41508497,19656.872756,242993.33038,-8.164,-70.354
Jordão,AC,JORDAO,120032,NORTE,1685,520,94.529668001,10944.363755,116884.03245,-9.434,-71.884
Mâncio Lima,AC,MANCIOLIMA,120033,NORTE,1701,227,121.38668213,9651.7565228,144660.61102,-7.614,-72.896
Manoel Urbano,AC,MANOELURBANO,120034,NORTE,967,165,231.13285282,7320.8363256,199352.01163,-8.839,-69.26
Marechal Thaumaturgo,AC,MARECHALTHAUMATURGO,120035,NORTE,3593,2053,87.04182021,20929.316069,105436.70764,-8.941,-72.792
Plácido de Castro,AC,PLACIDODECASTRO,120038,NORTE,2194,704,58.070515089,12702.179367,98758.98374,-10.335,-67.184
Porto Walter,AC,PORTOWALTER,120039,NORTE,1620,591,75.46982164,10981.188006,101978.48753,-8.269,-72.744
Rio Branco,AC,RIOBRANCO,120040,NORTE,6184,609,178.36243048,147779.37526,204609.44388,-9.975,-67.81
Rodrigues Alves,AC,RODRIGUESALVES,120042,NORTE,2644,334,125.17668658,13442.637922,152256.30782,-7.742,-72.647
Santa Rosa do Purus,AC,SANTAROSADOPURUS,120043,NORTE,1180,38,86.8076531,6304.3039947,131902.48732,-9.433,-70.493
Senador Guiomard,AC,SENADORGUIOMARD,120045,NORTE,1946,728,84.49763594,13431.668251,107703.79887,-10.151,-67.736
Sena Madureira,AC,SENAMADUREIRA,120050,NORTE,4212,572,282.36598618,22168.921156,247786.64543,-9.066,-68.657
Tarauacá,AC,TARAUACA,120060,NORTE,4420,2103,170.08831378,27228.082207,163126.93684,-8.161,-70.766
Xapuri,AC,XAPURI,120070,NORTE,1457,115,75.144465455,8645.376956,121849.79876,-10.652,-68.504
Porto Acre,AC,PORTOACRE,120080,NORTE,2704,1124,62.330547418,8636.9503205,100046.58948,-9.588,-67.533
Alvarães,AM,ALVARAES,130002,NORTE,2569,188,170.77729151,23256.604142,178946.58486,-3.221,-64.804
Amaturá,AM,AMATURA,130006,NORTE,1286,0,59.666458686,10080.413301,116718.40477,-3.364,-68.198
Anamã,AM,ANAMA,130008,NORTE,1318,439,82.918534132,9293.3805065,107078.89335,-3.58,-61.404
Anori,AM,ANORI,130010,NORTE,884,200,172.70212962,12773.721972,159521.38926,-3.773,-61.644
Apuí,AM,APUI,130014,NORTE,1143,803,241.49278384,14886.967404,165622.76296,-7.197,-59.891
Atalaia do Norte,AM,ATALAIADONORTE,130020,NORTE,2391,2077,501.84456011,11670.622282,307572.41564,-4.372,-70.192
Autazes,AM,AUTAZES,130030,NORTE,5541,5360,146.04973479,34984.873031,123045.02355,-3.58,-59.131
Barcelos,AM,BARCELOS,130040,NORTE,1754,74,357.62500611,21616.198037,278821.99358,-0.975,-62.924
Barreirinha,AM,BARREIRINHA,130050,NORTE,4906,1076,99.740282317,29640.076751,145317.47775,-2.793,-57.07
Benjamin Constant,AM,BENJAMINCONSTANT,130060,NORTE,4893,721,294.17395636,45871.099588,257004.55304,-4.383,-70.031
Beruri,AM,BERURI,130063,NORTE,2816,832,191.93066729,20450.693012,177213.91966,-3.898,-61.373
Boa Vista do Ramos,AM,BOAVISTADORAMOS,130068,NORTE,1648,873,66.486698852,14029.64364,84691.387141,-2.97,-57.59
Boca do Acre,AM,BOCADOACRE,130070,NORTE,2956,2146,200.41144608,25821.15903,152401.94519,-8.752,-67.398
Borba,AM,BORBA,130080,NORTE,4413,1823,271.07081951,31991.528719,222930.70505,-4.388,-59.594
Caapiranga,AM,CAAPIRANGA,130083,NORTE,1760,1014,154.3667773,14048.168181,130787.51936,-3.328,-61.209
Canutama,AM,CANUTAMA,130090,NORTE,1028,520,273.82614775,12606.74854,197006.00091,-6.534,-64.383
Carauari,AM,CARAUARI,130100,NORTE,1357,263,202.78100379,23487.939196,179781.57069,-4.883,-66.896
Careiro,AM,CAREIRO,130110,NORTE,5825,5192,90.456674812,29617.51804,99870.410288,-3.768,-60.369
Careiro da Várzea,AM,CAREIRODAVARZEA,130115,NORTE,4679,4623,67.21159078,21480.69204,73011.52993,-3.221,-59.826
Coari,AM,COARI,130120,NORTE,6056,4999,340.4405969,62209.89579,243212.6623,-4.085,-63.141
Codajás,AM,CODAJAS,130130,NORTE,1026,52,310.16445412,14932.120008,248049.46214,-3.837,-62.057
Eirunepé,AM,EIRUNEPE,130140,NORTE,3214,0,201.88322601,32982.432947,205031.50671,-6.66,-69.874
Envira,AM,ENVIRA,130150,NORTE,2005,864,121.73221175,14836.559935,124357.98627,-7.433,-70.023
Fonte Boa,AM,FONTEBOA,130160,NORTE,1996,1572,140.31801711,25895.478222,108234.63757,-2.514,-66.092
Guajará,AM,GUAJARA,130165,NORTE,1173,751,137.57325286,13450.225407,113136.82698,-7.546,-72.584
Humaitá,AM,HUMAITA,130170,NORTE,3308,1448,203.87175449,33783.723531,176316.03937,-7.506,-63.021
Ipixuna,AM,IPIXUNA,130180,NORTE,1775,285,125.64641799,18328.445745,143029.81677,-7.051,-71.695
Iranduba,AM,IRANDUBA,130185,NORTE,6225,2280,100.00969856,40320.963015,143955.86787,-3.285,-60.186
Itacoatiara,AM,ITACOATIARA,130190,NORTE,8519,8041,118.69298141,85651.569417,129389.61482,-3.143,-58.444
Itamarati,AM,ITAMARATI,130195,NORTE,1074,6,210.8887599,8861.6175212,199121.07014,-6.425,-68.253
Itapiranga,AM,ITAPIRANGA,130200,NORTE,332,228,142.69642116,7593.650042,109936.24671,-2.749,-58.022
Japurá,AM,JAPURA,130210,NORTE,950,0,437.00118918,10731.29782,322509.27544,-1.826,-66.599
Juruá,AM,JURUA,130220,NORTE,1744,438,139.35256544,14180.164639,144939.234,-3.481,-66.069
Jutaí,AM,JUTAI,130230,NORTE,2725,7,595.45551985,27047.64412,419224.20208,-2.747,-66.767
Lábrea,AM,LABREA,130240,NORTE,2786,1128,379.97223305,34442.817492,272218.61748,-7.259,-64.798
Manacapuru,AM,MANACAPURU,130250,NORTE,8758,3180,111.38773789,68944.659665,167544.06446,-3.3,-60.621
Manaquiri,AM,MANAQUIRI,130255,NORTE,2475,2431,111.18559471,21290.676212,82388.85743,-3.428,-60.459
Manaus,AM,MANAUS,130260,NORTE,8431,7265,138.16313638,926504.7235,144681.82837,-3.102,-60.025
Manicoré,AM,MANICORE,130270,NORTE,5927,3011,346.0320916,44108.80446,267823.65503,-5.809,-61.3
Maraã,AM,MARAA,130280,NORTE,4857,3214,295.97597136,39775.809772,222169.324,-1.856,-65.581
Maués,AM,MAUES,130290,NORTE,7897,2007,449.10198102,58409.273776,355827.25799,-3.384,-57.719
Nhamundá,AM,NHAMUNDA,130300,NORTE,2608,1072,387.22337024,18380.933372,275909.2889,-2.186,-56.713
Nova Olinda do Norte,AM,NOVAOLINDADONORTE,130310,NORTE,3115,2655,120.63952326,26039.143801,100639.77487,-3.888,-59.094
Novo Airão,AM,NOVOAIRAO,130320,NORTE,428,163,338.02683064,12382.048668,237062.08619,-2.621,-60.944
Novo Aripuanã,AM,NOVOARIPUANA,130330,NORTE,1529,1518,429.9725981,17401.017248,251734.90173,-5.121,-60.38
Parintins,AM,PARINTINS,130340,NORTE,8833,3978,79.271018151,77031.482333,144176.61413,-2.628,-56.736
Pauini,AM,PAUINI,130350,NORTE,1567,118,313.33737839,17053.896083,251412.25889,-7.714,-66.976
Presidente Figueiredo,AM,PRESIDENTEFIGUEIREDO,130353,NORTE,3171,1812,230.46711453,34105.118577,180744.89036,-2.034,-60.025
Rio Preto da Eva,AM,RIOPRETODAEVA,130356,NORTE,2001,1933,72.638348803,22396.212055,58797.93115,-2.699,-59.7
Santa Isabel do Rio Negro,AM,SANTAISABELDORIONEGRO,130360,NORTE,884,18,317.2699998,12690.053833,253724.82466,-0.414,-65.019
Santo Antônio do Içá,AM,SANTOANTONIODOICA,130370,NORTE,2414,0,220.22036011,21487.669918,210457.46074,-3.102,-67.94
São Gabriel da Cachoeira,AM,SAOGABRIELDACACHOEIRA,130380,NORTE,7834,2226,368.59937404,38394.811412,309307.04871,-0.13,-67.089
São Paulo de Olivença,AM,SAOPAULODEOLIVENCA,130390,NORTE,4387,1856,363.54309718,30748.050178,273208.26752,-3.378,-68.873
São Sebastião do Uatumã,AM,SAOSEBASTIAODOUATUMA,130395,NORTE,263,257,230.46912108,5540.8765762,140353.67056,-2.572,-57.871
Silves,AM,SILVES,130400,NORTE,1308,1020,97.549682031,11877.94876,82787.717013,-2.839,-58.209
Tabatinga,AM,TABATINGA,130406,NORTE,5261,1390,80.944867024,45257.074794,133664.5215,-4.253,-69.938
Tapauá,AM,TAPAUA,130410,NORTE,2356,0,519.31548897,22081.825591,375215.57677,-5.628,-63.183
Tefé,AM,TEFE,130420,NORTE,2739,619,340.04916373,41126.685194,262021.21453,-3.354,-64.711
Tonantins,AM,TONANTINS,130423,NORTE,1297,2,101.13179731,21187.70386,136822.51719,-2.873,-67.802
Uarini,AM,UARINI,130426,NORTE,2066,66,152.49160177,22343.906208,168304.03244,-2.99,-65.108
Urucará,AM,URUCARA,130430,NORTE,1061,618,401.00446653,15732.517337,261325.20745,-2.536,-57.76
Urucurituba,AM,URUCURITUBA,130440,NORTE,1636,876,119.73629754,12740.999493,114011.08937,-3.131,-58.155
Amajari,RR,AMAJARI,140002,NORTE,1187,166,388.38358611,4398.8781999,294729.16239,3.652,-61.371
Alto Alegre,RR,ALTOALEGRE,140005,NORTE,1221,205,332.17992119,8558.9169894,256078.25963,2.98,-61.292
Boa Vista,RR,BOAVISTA,140010,NORTE,1303,661,90.056434879,221452.96268,93312.281542,2.82,-60.673
Bonfim,RR,BONFIM,140015,NORTE,1742,267,155.36005845,7222.7398837,164193.07656,3.36,-59.833
Cantá,RR,CANTA,140017,NORTE,2675,1103,100.66566868,8216.5540751,121570.34847,2.61,-60.597
Caracaraí,RR,CARACARAI,140020,NORTE,1439,517,366.8701747,13039.136955,261315.27857,1.816,-61.128
Caroebe,RR,CAROEBE,140023,NORTE,1061,511,112.56842983,5639.1059818,115059.77786,0.884,-59.696
Iracema,RR,IRACEMA,140028,NORTE,848,330,327.58096317,2353.3011628,251981.71184,2.182,-61.041
Mucajaí,RR,MUCAJAI,140030,NORTE,1192,561,244.31759034,6502.0359805,188262.69487,2.43,-60.9
Normandia,RR,NORMANDIA,140040,NORTE,1752,64,107.98929535,5269.4084121,148944.97773,3.881,-59.623
Pacaraima,RR,PACARAIMA,140045,NORTE,1535,190,124.87039938,5559.2485759,150167.38685,4.431,-61.146
Rorainópolis,RR,RORAINOPOLIS,140047,NORTE,2108,1047,304.86479952,10830.515053,223000.05394,0.946,-60.418
São João da Baliza,RR,SAOJOAODABALIZA,140050,NORTE,400,378,93.006843426,6095.6892289,66731.237297,0.951,-59.911
São Luiz,RR,SAOLUIZ,140060,NORTE,456,251,49.328271252,3400.9249191,77349.27337,1.005,-60.159
Uiramutã,RR,UIRAMUTA,140070,NORTE,1985,82,92.647351411,3151.203205,148558.36742,4.596,-60.168
Abaetetuba,PA,ABAETETUBA,150010,NORTE,11577,6302,39.267127354,73825.836967,134672.65342,-1.718,-48.883
Abel Figueiredo,PA,ABELFIGUEIREDO,150013,NORTE,186,71,28.889560003,6731.5147131,68153.726518,-4.954,-48.393
Acará,PA,ACARA,150020,NORTE,10803,2815,100.195595,57721.366202,182873.00693,-1.961,-48.197
Afuá,PA,AFUA,150030,NORTE,10613,9169,121.3142196,46269.242595,151500.76981,-0.157,-50.387
Água Azul do Norte,PA,AGUAAZULDONORTE,150034,NORTE,1906,630,81.845311884,15848.166963,108383.68433,-6.791,-50.467
Alenquer,PA,ALENQUER,150040,NORTE,6448,2436,394.77898892,38375.695757,307612.64508,-1.942,-54.738
Almeirim,PA,ALMEIRIM,150050,NORTE,3258,757,558.56286895,31205.152426,386317.07155,-1.523,-52.582
Altamira,PA,ALTAMIRA,150060,NORTE,3684,772,752.14114945,68980.745607,496869.76354,-3.203,-52.206
Anajás,PA,ANAJAS,150070,NORTE,5390,3459,81.903064772,26706.614146,109664.23836,-0.987,-49.94
Ananindeua,PA,ANANINDEUA,150080,NORTE,2990,54,16.291623957,104359.29746,98585.514658,-1.366,-48.372
Anapu,PA,ANAPU,150085,NORTE,2666,141,188.83453358,15617.121125,192128.85539,-3.472,-51.198
Augusto Corrêa,PA,AUGUSTOCORREA,150090,NORTE,7709,1993,36.416697042,37256.418692,126753.17404,-1.022,-46.645
Aurora do Pará,PA,AURORADOPARA,150095,NORTE,4095,461,67.101183767,22897.652835,129592.03782,-2.134,-47.563
Aveiro,PA,AVEIRO,150100,NORTE,3898,393,180.14482148,18884.031607,191981.24381,-3.606,-55.332
Bagre,PA,BAGRE,150110,NORTE,2830,2520,141.88989249,17920.066013,108671.84968,-1.9,-50.164
Baião,PA,BAIAO,150120,NORTE,4309,298,102.88844251,26646.775394,153542.37748,-2.791,-49.672
Bannach,PA,BANNACH,150125,NORTE,493,241,68.032906448,5631.9790651,86013.333278,-7.348,-50.396
Barcarena,PA,BARCARENA,150130,NORTE,5145,3538,34.913259761,59270.982696,77712.04461,-1.506,-48.626
